Term,Count
醫院,3153
材,3149
切,3131
程式,3128
鐵路,3125
潮,3117
一世,3111
新界,3088
印度,3087
莊,3078
粉,3068
大區,3063
合作,3060
中華民國,3051
997年,3049
國民,3047
990年,3045
敏,3015
藤,3007
刻,3005
畢業,3003
臣,2993
999年,2982
井,2975
理論,2974
皇帝,2957
曉,2953
蒙,2948
學會,2947
罪,2936
80年,2933
93年,2912
東南,2907
控制,2906
組合,2905
94年,2905
加拿大,2904
聯盟,2904
96年,2902
道路,2898
95年,2893
繼續,2892
麻,2885
配音員,2848
法會,2837
唱片,2834
分析,2834
菜,2824
核,2822
跳,2821
蔡,2819
89年,2815
養,2808
西班牙,2804
番,2797
碟,2792
攝,2791
開放,2785
末,2781
廣告,2775
利亞,2769
998年,2761
堡,2759
改名,2755
虎,2752
浪,2751
郡,2742
池,2741
意大利,2721
92年,2719
勞,2712
榮譽,2707
亂,2706
板,2694
餐,2670
91年,2667
銀行,2663
鬼,2660
大廈,2651
立法會,2647
姓,2645
玩家,2644
竹,2634
迷,2622
丁字,2609
太平,2603
功能,2603
第一次,2602
化學,2596
飲,2579
后,2571
耳,2569
993年,2559
郭,2559
機構,2544
拉丁字母,2537
地球,2520
韋,2515
10號,2508
久,2504
996年,2494
88年,2492
主教,2489
大部,2488
筆,2484
994年,2479
995年,2475
茶,2458
燒,2456
科技,2452
禁,2438
越南,2432
版本,2428
故事,2417
聲調,2412
幻,2403
輔,2401
巨,2401
航空,2391
980年,2382
靜,2378
距,2361
津,2360
公路,2345
991年,2345
全球,2344
政治人物,2342
休,2340
989年,2332
暫,2329
乾,2326
申,2316
安全,2312
協會,2305
992年,2297
共有,2296
表演,2287
基督,2286
存在,2279
危,2278
冰,2276
十年,2263
泉,2263
形式,2249
87年,2246
赤,2244
凱,2242
西南,2235
丘,2235
惡,2230
琴,2230
忠,2229
渡,2228
博士,2223
出道,2218
億,2214
冷,2214
酒店,2214
中間,2197
坐,2195
刺,2195
擺,2188
中山,2178
70年,2162
朋,2161
職業,2159
束,2158
韻,2157
鏡,2148
唯一,2142
普通,2139
85年,2136
臺北,2134
86年,2120
巴西,2111
夾,2108
背景,2105
小姐,2101
988年,2098
碼頭,2097
西北,2090
寺,2084
作者,2075
慢,2072
燕,2069
街道,2068
83年,2058
長官,2056
空間,2054
文字,2042
虛,2038
選區,2035
領域,2034
反應,2025
84年,2020
其實,2011
模型,2010
革命,2008
劍,2002
港鐵,1998
炎,1981
尊,1978
香港電視,1975
針,1958
芝,1956
厄爾,1953
現象,1952
天主,1951
82年,1946
日出,1946
法律,1945
特徵,1944
墨,1939
首府,1934
貢,1926
60年,1925
炸,1925
記者,1925
屯,1923
甘,1919
願,1916
桂,1915
地下,1910
專業,1905
胞,1903
投票,1899
987年,1898
81年,1896
飯,1896
星期,1895
香港語,1895
主題曲,1882
鼓,1871
警察,1868
民族,1867
笑,1863
知道,1849
宗教,1841
桃,1841
左右,1836
國電,1824
踢,1819
爵,1815
模特兒,1814
986年,1811
酸,1810
朋友,1804
79年,1798
青年,1796
公元,1792
陰,1791
瓜,1791
喬,1786
壽,1784
少年,1784
希望,1781
卷,1775
衛視,1775
港中,1771
緣,1764
985年,1763
擁有,1762
仍然,1759
身體,1758
秦,1754
咪,1752
南部,1745
奶,1744
政策,1742
區域,1739
香港人,1732
國一,1732
羊,1731
自治,1722
鼠,1721
制度,1717
動員,1717
溪,1716
軍事,1711
浦,1704
槍,1703
983年,1700
宅,1697
柱,1695
中環,1692
羽,1691
總部,1688
談,1684
50年,1681
煙,1680
十五,1679
灰,1676
肺,1675
霍,1675
揚,1669
瓦,1669
和平,1662
曹,1660
984年,1658
逃,1654
人工,1651
阿媽,1637
伍,1636
新城,1636
球場,1632
方便,1626
顏,1626
國內,1625
葵,1624
乳,1621
洞,1619
970年,1617
982年,1617
衫,1606
主持人,1603
們,1599
78年,1598
徽,1594
攻擊,1593
民政,1591
凌,1589
隧道,1587
首都,1584
教授,1582
沙田,1575
基督教,1573
合併,1569
呂,1567
大埔,1563
飛機,1557
出發,1557
干,1552
觸,1546
填詞,1546
行星,1546
家庭,1541
港女,1540
速度,1535
公眾,1534
運動會,1532
潘,1532
健康,1523
午,1523
生命,1523
奈,1521
東方,1515
解釋,1512
儲,1509
981年,1507
否,1504
凡,1503
76年,1503
戈,1502
颱風,1496
新加坡,1496
東廣州,1495
泥,1492
中有,1492
遊樂,1492
游,1491
24年,1490
75年,1482
乘客,1479
洗,1478
兄弟,1478
品種,1474
香港電影,1472
町,1470
籃,1469
編劇,1467
狼,1466
兆,1465
侯,1461
召,1456
葡萄,1450
979年,1447
屯門,1444
精神,1433
美洲,1431
魏,1431
灣區,1429
基金,1427
選擇,1425
74年,1423
目標,1417
77年,1414
金融,1412
力量,1410
元朗,1408
製作人,1408
柯,1407
孝,1401
英雄,1399
陶,1395
49年,1395
辛,1395
錄音,1389
總站,1388
梯,1385
畫家,1385
報告,1382
鋪,1382
舒,1377
法院,1377
白雲,1376
香港島,1367
唐人,1365
證明,1361
峽,1361
960年,1347
商場,1346
公民,1342
出口,1341
把,1341
董事,1340
阿列,1332
西洋,1330
偶,1326
同意,1326
鹿,1325
掌,1322
維基,1317
律師,1314
估計,1313
73年,1313
外交,1312
978年,1310
舞蹈,1309
孔,1306
葛,1306
軸,1304
祝,1301
刀,1298
68年,1297
西方,1288
遊樂場,1288
變數,1288
孟,1287
苗,1287
郊,1284
愛情,1282
影片,1281
太平洋,1280
讓,1279
死亡,1278
主任,1276
收費,1274
荃灣,1272
72年,1271
兩邊,1269
瑞典,1269
69年,1268
車道,1267
阿爸,1264
出版社,1259
非洲,1255
殿,1252
事實,1251
金像獎,1249
觀塘,1248
交易,1244
思想,1244
王國,1244
30年,1239
三角,1239
課程,1239
海外,1234
天河,1233
67年,1229
後生,1225
跡,1224
姓氏,1224
灘,1223
魔法,1223
女士,1223
珠江,1215
公主,1214
蒂,1213
領袖,1211
民主派,1210
溝,1209
秒,1206
哈利,1206
默,1205
貼,1204
蚊,1201
姬,1200
蕾,1200
注意,1198
氧,1195
示威,1194
乙,1193
埃及,1190
煮,1189
45年,1188
鍵,1187
限制,1185
過去,1185
記憶,1185
合唱,1184
大橋,1182
976年,1178
常會,1178
斯卡,1178
雕,1177
山大,1177
響度,1177
灣仔,1176
皇后,1174
患,1172
尼斯,1169
譜,1168
啡,1168
苦,1167
評論,1167
餅,1166
地名,1163
同人,1160
炒,1159
信息,1156
肺炎,1156
南海,1152
大聯盟,1150
餐廳,1149
住宅,1147
64年,1147
葡萄牙,1146
娘,1146
曲家,1145
多斯,1144
975年,1143
人大,1142
軍隊,1140
破壞,1140
65年,1140
中國人,1137
人生,1137
拉伯,1136
嘴,1135
桑,1133
改革,1133
66年,1132
大家,1129
算法,1129
59年,1128
伊斯,1123
58年,1122
部長,1121
名人,1120
作曲家,1117
同學,1110
多多,1109
涼,1108
折,1108
71年,1106
977年,1106
現實,1106
40年,1105
物件,1104
皇家,1104
63年,1096
974年,1095
慕,1088
950年,1087
61年,1086
效果,1081
佛教,1080
翔,1080
克蘭,1079
荊,1076
原子,1072
80年代,1071
痛,1071
會長,1071
尺,1068
能量,1068
56年,1066
949年,1065
90年代,1065
道同,1064
天皇,1062
約翰,1061
排名,1058
模式,1057
交流,1055
梨,1055
材料,1053
移民,1052
土地,1047
62年,1047
蘋,1047
基斯,1046
阿拉伯,1046
立場,1045
認知,1045
演算,1045
埠,1042
夫人,1042
齋,1042
十七,1039
北市,1039
歌唱,1039
氣候,1037
工具,1036
46年,1036
57年,1032
坪,1032
醫療,1032
叉,1029
973年,1026
挑戰,1025
文物,1023
亭,1022
四大,1020
人一,1018
文章,1017
綠色,1015
日常,1012
伏,1011
高度,1008
其後,1007
翡翠,1005
鼻,1004
多利,1004
體育館,1003
幾乎,1002
播放,1001
主唱,1000
蛇,999
本土,998
白色,994
55年,993
47年,992
解放,991
閃,991
番禺,990
廊,987
聖經,986
拓,985
德華,979
旺角,975
金曲獎,975
給,972
女性,971
禾,971
972年,970
古典,970
大中,966
柔,966
巫,964
風雲,964
香港大學,963
54年,962
巴黎,959
華語,957
扣,956
提升,955
衝突,954
亞洲電視,954
祖籍,951
殼,950
毫,949
京都,947
亞軍,945
祠,942
清朝,941
工人,940
亞丁,938
西部,937
戰鬥,937
宇宙,934
慈善,934
森林,933
殖民,931
辣,931
盾,930
戲劇,930
汁,927
比例,925
53年,925
969年,925
鯨,924
48年,923
夏季,922
定律,922
新人,922
大阪,921
51年,920
52年,918
文同,915
七年,915
勁歌金曲,914
以色列,911
小行星,910
中部,909
箭,909
福利,908
形象,906
汗,905
廚,905
平面,904
袋,904
飲食,901
968年,901
副主席,901
模組,900
視為,899
蒸,897
945年,896
通道,896
顧問,895
佐治,894
瑟,894
世界大戰,894
東區,893
大細,892
大城,891
程序,891
磁,891
三大,890
文明,888
967年,888
檔案,887
法蘭,887
祿,885
核心,884
賽馬,883
孤,878
70年代,877
泊,877
武器,877
分子,876
北海,875
會員,875
君主,875
港男,874
拳,873
醬,872
依然,871
食物,869
港中文,869
土耳其,867
時段,865
男女,864
肚,864
比利,863
方言,862
41年,861
稅,861
窗,860
治療,860
歌詞,859
回應,859
李家超,857
音樂會,854
助理,853
昂,851
25年,851
辰,849
天體,849
繫,847
旅行,847
墨西哥,846
儒,846
碑,846
西貢,844
理解,844
權力,844
芭蕾舞,844
十字,843
指揮,841
品牌,840
966年,838
弗,838
主權,837
形狀,837
重建,837
經驗,836
蒲,836
南大,834
民眾,833
教宗,832
真人,830
政綱,829
38年,828
預測,827
本人,826
盜,825
958年,823
托,823
銅鑼,823
基地,822
971年,822
寒,820
頸,819
37年,818
959年,817
霞,817
院士,817
盧華,817
薇,816
964年,816
波特,816
日期,815
大街,815
965年,813
佔領,812
汶,812
理想,812
社交,812
卿,811
蜂,809
高速公路,808
批准,808
北區,807
人話,807
中路,807
藝名,806
瑞士,805
沙咀,803
方程,803
危險,802
上市,802
氧化,801
建制,799
有線,798
威廉,798
黑色,796
將軍澳,796
環球,796
綜藝節目,794
涌,793
快樂,792
路口,792
成本,790
遊行,789
教堂,788
櫻,788
諮詢,786
電車,786
銅鑼灣,785
暖,784
腐,783
設備,783
一一,778
西區,778
感覺,777
行人,777
軌道,777
963年,776
情節,775
癌,772
二月,770
樂園,770
馬拉,769
花名,768
敵人,768
契,767
御,767
象徵,767
碳,767
主播,766
尖沙咀,765
辦公室,764
深水,764
特區,763
36年,763
臺北市,763
九年,762
藍色,762
妃,759
狄,758
阮,758
學士,758
自殺,757
夷,757
老公,757
幫助,756
德龍,756
946年,755
市中心,753
956年,750
卜,750
保安,750
券,750
962年,749
蜀,748
梓,748
27年,747
仇,747
蘇格蘭,746
消防,745
天下,745
海拔,744
太郎,743
翁,742
興趣,742
刺激,741
44年,740
哺乳,740
26年,736
一本,735
時裝,734
28年,731
喜劇,729
縮寫,727
岩,727
34年,727
947年,727
海南,726
玻璃,725
繩,725
管理局,725
飛行,724
35年,724
性格,722
褲,722
961年,721
肇,720
代表作,720
紅磡,719
工廠,719
張國,718
姜,718
菌,716
淚,716
互聯,714
分支,714
31年,714
聯會,713
馬會,711
豹,711
康熙,710
襲擊,706
同行,706
水平,705
屋苑,705
樂團,704
台,704
女王,704
大堂,704
魁,704
平方米,703
32年,702
佑,702
椒,702
上都,701
華爾,701
中西,699
報紙,698
名詞,697
39年,697
人民政府,696
櫃,696
大同,695
戒,695
北角,693
語音,692
矩,690
發音,690
國軍,689
930年,689
957年,689
哲學家,689
杏,689
入侵,688
列日,687
蝴蝶,686
波斯,686
國教,686
商人,685
美術,685
明星,685
上帝,684
實現,683
俗稱,683
創新,683
莞,683
德里,683
病毒,682
940年,681
股份,680
收入,677
貨幣,677
帆,677
955年,677
丸,677
洛特,677
60年代,676
954年,676
伊勒,676
金鐘,673
伊朗,673
33年,672
展開,670
最好,669
堤,669
焦,669
芒,668
撲,668
瞭解,665
地震,665
執政,664
尹,664
殖民地,663
籠,663
累,663
劇場,662
合成,660
總統選舉,660
感染,659
需求,658
山頂,657
斗,657
傳奇,656
上水,656
42年,655
喉,655
深水埗,655
熱帶氣旋,654
觀點,654
咖啡,652
南區,649
古蹟,649
明朝,648
43年,648
磚,647
內閣,647
完整,646
948年,646
娥,645
29年,644
混合,643
拉克,643
通用,642
一致,642
委任,640
邪,640
952年,639
大嶼山,638
國務院,638
里斯,637
伊利,637
天地,636
根廷,636
阿根廷,635
同盟,635
資產,634
抗議,633
天使,633
帥,633
鼎,632
腹,631
隔離,630
證據,629
悲,629
開張,629
危機,628
凌晨,627
海報,626
羽毛,626
全日,625
大西,625
卡拉,625
戰後,623
好好,622
李克,622
監督,621
茄,621
膜,621
坤,620
橙,620
青衣,619
胸,618
錯誤,617
農曆,617
代理,617
艇,615
953年,615
起點,614
密度,613
天后,612
原理,612
短片,611
頻率,611
成就,611
主流,610
冒險,609
951年,608
向北,607
評估,606
特拉,606
青山,603
丙,602
同性,601
元音,600
錄音室,599
標記,598
命令,598
設計師,598
犬,598
腰,596
北大,596
金牌,596
九龍城,595
挪威,595
週期,594
爆炸,594
犯罪,593
青春,593
口岸,592
南非,591
920年,591
繁殖,590
男性,589
信仰,589
爵士,589
香港足球,589
矛,587
微博,585
霧,585
配角,585
江南,585
退休,584
院長,584
研究所,583
殷,583
粉嶺,583
玫瑰,583
查理,583
人工智能,583
暴力,582
草本植物,582
基因,581
陳慧,581
法例,579
大師,579
永久,576
法官,574
精靈,574
有分,573
青少年,572
日子,572
甄,571
粵劇,571
937年,571
辦事處,571
大衛,569
圭,569
適應,569
電影導演,568
鞋,567
利益,566
句子,566
航空公司,565
大仙,564
西灣,562
國有,561
國籍,561
天文學,559
賽馬會,559
一生,557
衛星,557
分裂,556
沙灣,555
前任,554
同上,554
港口,553
海灣,553
藩,553
亞歷山大,553
守門員,553
本名,552
保險,551
梗,551
參議,551
鍋,550
填海,550
五大,549
杭,549
酷,547
集會,547
劫,547
財經,547
938年,546
丹尼,546
鞍,546
山道,546
滿足,545
兔,545
庇,544
翻唱,544
英皇,543
非法,542
黃大仙,541
抽象,541
自我,541
虛構,541
岐,541
鴉,540
姊妹,539
停車場,539
近代,538
基本法,537
樑,537
游泳,537
排球,537
家姓,537
購物,535
畫面,535
會計,535
冬季,534
幸福,534
侍,533
咒,533
新市,532
生日,532
常委,532
文藝,531
商會,531
健身,531
一月,530
吉隆坡,530
利波特,530
定理,528
清水,528
向量,528
大馬路,527
設定,527
北海道,526
星期一,525
音符,525
途中,525
煲,524
建制派,523
商界,522
乓,522
936年,521
舌,521
百家姓,521
港元,520
福音,520
完美,520
成長,520
粒子,519
戰士,519
測量,518
樓層,518
幼稚園,517
偶像,517
女神,517
唐朝,516
水上,516
劉德,516
941年,515
50年代,514
巢,514
春秋,514
海地,513
樂家,511
演繹,511
大西洋,511
中大,510
荔枝,510
化合物,509
羅馬帝國,509
爪,509
斤,509
引用,507
投降,506
兜,506
保守,505
塞爾,505
李克勤,505
柏林,504
弦,504
蛋白,504
辭職,504
首席,503
美人,502
感情,501
桐,501
城鎮,500
教區,499
葵涌,499
羽毛球,498
彼得,497
客串,497
季軍,497
公式,496
人名,495
演化,495
貴族,495
大地,495
平衡,494
棍,494
鈴木,494
隊長,493
印刷,492
概率,492
十月,491
劉德華,491
法庭,490
丈,490
溫哥華,490
指標,489
利奧,489
南市,488
理性,488
對稱,488
密碼,488
遺傳,488
回家,488
倫比,485
香港地,484
桃園,484
梵,483
北宋,483
中原,482
效率,481
亨利,480
監察,479
安省,479
絕對,477
水圍,477
中途,477
郊野公園,476
部首,476
感知,476
浪漫,474
平民,474
司機,474
路段,474
河口,473
腔,473
尿,473
柴灣,472
狐,472
石油,471
長大,470
五月,468
化成,467
東華,467
疾病,466
士兵,466
類別,466
總書記,466
牟,465
天空,465
我是歌手,465
茅,464
勳章,464
交易所,463
天水圍,463
嬲,462
效應,462
賽車,462
新浪,461
平原,461
社團,461
河流,460
陳奕,459
幹線,459
採訪,459
民進,459
大佬,459
933年,458
陸續,458
塵,458
甫,458
薑,458
繁忙時間,458
拉夫,457
同工,457
焗,457
巴基斯坦,456
邊境,455
港鐵公司,455
931年,455
等級,455
星光,454
利沙,454
江湖,453
哀,453
出生,452
抗日,451
衍生,451
道德,451
平行,451
旺斯,451
城巴,450
能源,450
巴士總站,450
集合,450
伊拉,450
學部,450
籃球場,450
法則,449
外部,449
感受,448
觀塘區,448
新年,448
患者,448
利斯,447
公開賽,447
稻,447
科學院,447
祖先,446
突破,446
939年,446
刑事,445
母語,444
912年,444
四月,443
郵政,443
假名,443
關鍵,442
疫苗,442
美元,441
廁所,441
平安,441
邑,440
西斯,440
飄,440
炭,440
山口,439
火山,439
香港仔,438
宿舍,438
人文,438
城堡,438
臂,438
開國,437
失去,437
汝,437
傲,435
平等,435
934年,435
頂級域,435
離島,434
南沙,434
上一站,434
陳奕迅,433
譚詠麟,433
收藏,433
終極,433
私立,432
足球場,432
中英,431
布拉,431
董事長,431
海邊,430
927年,430
田中,430
童話,430
三角形,429
莫斯,429
蝕,428
寸,428
村民,428
贊助,428
打橫,428
香港賽馬,427
海豚,427
垃圾,426
維護,425
928年,425
萬國,425
唱片公司,425
先鋒,425
椰,425
932年,424
污染,424
利多,424
玩具,422
集體,422
922年,422
935年,422
明治,422
灌木,422
馬利,421
啟德,421
卦,421
道教,420
沙田區,420
格拉,420
梁詠琪,420
島區,419
會堂,419
浸會大學,419
幕後,419
新村,419
日本人,418
薩克,418
證券,418
弓,418
蘋果日報,418
納粹,417
香港公園,417
毫米,417
昏,417
戲院,416
民生,415
00年代,415
肢,415
自由黨,415
鄂,415
金馬,414
南宋,413
扒,413
堅尼,413
926年,413
南華,413
意志,413
詞曲作家,413
富豪,412
元朗區,412
淡水,412
重量,412
伽,411
944年,411
蓬,411
碗,411
太古,411
鄭秀文,411
成熟,410
分數,409
博弈,409
天王,408
北美洲,408
立方,408
棕,408
電梯,407
太和,407
司徒,407
七月,406
西貢區,406
定居,406
復活,406
十一月,404
威爾斯,404
心臟,403
神學,403
自行,403
蹄,403
片段,403
和曆,403
三月,402
六月,401
向前,401
水庫,401
919年,399
香港教育,399
918年,399
金剛,399
車手,399
永康,399
新市鎮,398
花都,398
彩虹,398
教育家,398
東大,397
929年,396
925年,396
馬鞍山,396
婚姻,396
同心,396
差人,395
商店,395
阿富,395
943年,395
雍,395
臺南市,395
肌肉,395
國華,395
流域,395
發電,395
國家安全,395
伊拉克,395
大大,394
政治局,394
同步,393
佐藤,393
阿里,393
混音,393
十二月,392
阿富汗,392
器官,392
擔心,392
歷史建築,392
變種,392
中國湖,392
覆蓋,391
家主,391
抄,390
捷克,390
牛肉,390
字形,390
亥,389
蝙蝠,389
訊息,388
華大,388
924年,387
秩,387
942年,386
股票,386
轉車站,386
格式,385
胃,385
升級,385
大學城,384
投訴,384
上環,383
藍田,383
阿哥,383
桿,383
學歷,382
監獄,382
王室,382
黑暗,381
答案,381
手指,381
香港商業,381
卡通,380
皮膚,380
會考,380
謎,379
芒果,379
張國榮,378
八月,378
亞人,378
林鄭月娥,378
富城,378
北朝,377
黎明,377
朝廷,376
電力,376
體育場,376
麵包,375
警報,375
鬚,375
洛杉,375
拃,375
地址,374
匈牙利,374
椅,374
道東,374
雕塑,374
專科,374
丞,374
以東,373
正月,373
馬場,372
沙漠,372
九州,371
說話,371
授權,371
園站,371
智慧,371
呼吸,371
戚,370
漢文,370
姑娘,370
扶手,370
冥,370
顎,369
古埃,369
古埃及,369
管制,369
駕駛,369
南美洲,369
九月,368
矛盾,368
九龍灣,367
同德,367
遠東,367
蔡依林,366
時紀,366
明報,365
再見,365
部落,365
莫斯科,365
文學獎,365
九廣鐵路,364
中海,364
臺上,364
紗,364
巴士站,364
港灣,364
郭富城,364
硫,363
裁判,363
小心,363
信徒,361
光大,361
字典,361
值得,361
煤,361
長沙灣,361
大埔區,361
容祖兒,360
格林,360
正義,360
中西區,360
技能,359
投票率,359
星座,359
雞蛋,358
多元,358
風季,358
州同,357
公務員,357
同方,357
910年,357
立法局,357
東京都,357
三代,357
閩南,356
外地,356
張敬,356
維爾,356
體育會,356
元首,355
斯里,355
巴斯,355
游泳池,355
星官,355
電器,354
拱,354
修正,354
體會,354
釋放,354
乾隆,354
芽,354
傘,354
象棋,354
書寫,353
新世界,353
霜,353
家長,353
投資者,353
大圍,353
情歌,353
卉,353
921年,352
行政院,352
庸,352
薪,352
至尊,352
南站,352
溫泉,352
中都,351
公爵,351
封鎖,351
提琴,351
守護,351
大城市,350
筲箕,350
工作室,350
紀錄片,350
橋段,350
外交部,349
動物園,349
占,348
人人,348
嵐,348
教育局,348
腺,348
大革命,347
滅亡,347
原住民,347
派對,347
中村,347
殺手,347
閱讀,346
記者會,346
指令,346
小說家,346
引力,345
昭和,345
演講,345
肯定,344
票房,344
923年,343
曹操,343
烤,343
加斯,342
手電,342
梅艷芳,341
賭場,341
星期日,340
執法,340
布斯,340
廚房,340
轉化,339
公共交通,339
腿,339
豬肉,339
連鎖,337
補選,337
琉球,337
師奶,337
特區政府,336
半球,336
政變,336
音樂劇,336
20年代,335
鏡頭,335
國民政府,334
時中,334
30年代,334
筲箕灣,334
900年,333
日常生活,333
驗證,333
佐敦,333
美國人,333
業主,333
柬埔寨,333
旬,333
輕鐵,333
猴,333
高雄市,333
漆,332
西九龍,332
視覺藝術,332
李國,332
斯塔,331
公仔,331
封閉,330
大分,330
尊重,329
南人,329
城市大學,329
車公,329
人腦,329
獎章,329
地盤,328
姦,328
卒,328
競賽,328
子彈,328
民國總統,328
宋朝,327
沙巴,327
太平紳士,327
醇,327
憶蓮,327
南洋,326
談判,326
高音,326
迷你,326
高原,326
庚,326
餡,326
陳志,326
茶餐廳,325
跑馬,325
巴勒,325
麗的,325
人間,324
917年,324
電動,323
農民,323
蒜,322
撾,322
認證,322
垂直,322
財產,322
會展,322
張敬軒,321
匙,321
學分,321
穴,321
米蘭,321
祠堂,321
區行,320
法案,320
九龍巴士,320
克拉,320
康熙部首,320
地形,319
一角,319
介面,319
州府,319
孫中,319
推理,319
重組,319
晚上,318
俱樂部,318
零售,318
發展局,318
音樂節,318
真相,318
佳麗,318
擦音,317
香港總督,317
星期六,317
中正,317
立人,317
方選,317
安娜,317
